cve_id,cwe_id,published_date,base_score,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,is_exploited,cve_age_days
CVE-2020-35929,CWE-798,2021-01-19 17:15:12.957,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1973
CVE-2020-27256,CWE-798,2021-01-19 21:15:13.967,6.8,PHYSICAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1973
CVE-2020-25173,"CWE-321,CWE-798",2021-01-26 18:15:43.130,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1966
CVE-2020-28998,CWE-798,2021-01-26 18:15:51.350,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1966
CVE-2020-28999,CWE-798,2021-01-26 18:15:51.473,7.2,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1966
CVE-2020-6779,CWE-798,2021-01-26 18:16:07.803,10.0,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,0,1966
CVE-2020-13858,CWE-798,2021-02-01 02:15:14.707,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1960
CVE-2020-15833,CWE-798,2021-02-01 02:15:14.987,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1960
CVE-2019-20471,CWE-798,2021-02-01 21:15:13.670,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1960
CVE-2021-25275,CWE-798,2021-02-03 17:15:16.513,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1958
CVE-2021-27141,CWE-798,2021-02-10 19:15:12.807,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27142,CWE-798,2021-02-10 19:15:12.840,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1951
CVE-2021-27143,CWE-798,2021-02-10 19:15:12.887,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27144,CWE-798,2021-02-10 19:15:13.010,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27145,CWE-798,2021-02-10 19:15:13.057,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27146,CWE-798,2021-02-10 19:15:13.167,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27147,CWE-798,2021-02-10 19:15:13.213,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27148,CWE-798,2021-02-10 19:15:13.293,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27149,CWE-798,2021-02-10 19:15:13.387,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27150,CWE-798,2021-02-10 19:15:13.433,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27151,CWE-798,2021-02-10 19:15:13.557,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27152,CWE-798,2021-02-10 19:15:13.607,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27153,CWE-798,2021-02-10 19:15:13.730,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27154,CWE-798,2021-02-10 19:15:13.777,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27155,CWE-798,2021-02-10 19:15:13.823,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27156,CWE-798,2021-02-10 19:15:13.933,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27157,CWE-798,2021-02-10 19:15:13.980,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27158,CWE-798,2021-02-10 19:15:14.107,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27159,CWE-798,2021-02-10 19:15:14.153,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27160,CWE-798,2021-02-10 19:15:14.183,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27161,CWE-798,2021-02-10 19:15:14.340,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27162,CWE-798,2021-02-10 19:15:14.463,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27163,CWE-798,2021-02-10 19:15:14.510,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27164,CWE-798,2021-02-10 19:15:14.557,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27165,CWE-798,2021-02-10 19:15:14.620,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27166,CWE-798,2021-02-10 19:15:14.683,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27167,CWE-798,2021-02-10 19:15:14.730,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27168,CWE-798,2021-02-10 19:15:14.793,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27169,CWE-798,2021-02-10 19:15:14.887,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2021-27172,CWE-798,2021-02-10 19:15:15.120,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1951
CVE-2020-25493,"CWE-327,CWE-798",2021-02-11 18:15:14.537,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1950
CVE-2021-20412,CWE-798,2021-02-12 17:15:14.230,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1949
CVE-2020-35567,CWE-798,2021-02-16 16:15:13.627,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1945
CVE-2020-12376,CWE-798,2021-02-17 14:15:15.810,5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,0,1944
CVE-2020-9306,"CWE-522,CWE-798",2021-02-18 00:15:17.327,8.8,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1943
CVE-2021-27228,CWE-798,2021-02-22 17:15:12.657,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1939
CVE-2020-7846,"CWE-321,CWE-798",2021-02-24 16:15:14.443,8.0,NETWORK,LOW,LOW,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,0,1937
CVE-2019-25021,CWE-798,2021-02-27 05:15:13.160,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1934
CVE-2020-35296,CWE-798,2021-03-03 16:15:12.617,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1930
CVE-2021-20442,CWE-798,2021-03-03 17:15:12.207,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1930
CVE-2021-21979,CWE-798,2021-03-03 17:15:12.270,7.3,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW,0,1930
CVE-2021-27254,"CWE-259,CWE-798",2021-03-05 20:15:12.317,8.8,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1928
CVE-2020-28952,CWE-798,2021-03-09 20:15:12.680,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1924
CVE-2020-13963,CWE-798,2021-03-21 21:15:12.530,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1912
CVE-2021-27438,"CWE-798,CWE-94",2021-03-25 20:15:12.897,8.8,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1908
CVE-2021-27440,"CWE-259,CWE-798",2021-03-25 20:15:12.977,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1908
CVE-2021-27452,"CWE-259,CWE-798",2021-03-25 20:15:13.227,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1908
CVE-2020-35137,CWE-798,2021-03-29 20:15:13.030,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1904
CVE-2020-35138,CWE-798,2021-03-29 20:15:13.077,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1904
CVE-2021-26579,CWE-798,2021-03-30 18:15:15.967,5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,0,1903
CVE-2020-14099,CWE-798,2021-04-08 18:15:13.667,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1894
